,DATE,CORESTICKM159SFRBATL,Datetime,CORESTICKM159SFRBATL_Prev,Ten_Change
410,2002-02-01,3.5387817,2002-02-01,3.5684398,-0.008380878650977606
411,2002-03-01,3.480145,2002-03-01,3.5387817,-0.016848924398265044
412,2002-04-01,3.4775061,2002-04-01,3.480145,-0.000758848417260864
413,2002-05-01,3.4632677,2002-05-01,3.4775061,-0.004111261742775468
414,2002-06-01,3.2512149,2002-06-01,3.4632677,-0.06522263416054101
415,2002-07-01,3.2740984,2002-07-01,3.2512149,0.006989252369446281
416,2002-08-01,3.1567969,2002-08-01,3.2740984,-0.03715839305341449
417,2002-09-01,3.0374651,2002-09-01,3.1567969,-0.0392866406925959
418,2002-10-01,2.9477485,2002-10-01,3.0374651,-0.03043563587599147
419,2002-11-01,2.8341831,2002-11-01,2.9477485,-0.040069888215761254
420,2002-12-01,2.8018315,2002-12-01,2.8341831,-0.011546590150050117
421,2003-01-01,2.7875531,2003-01-01,2.8018315,-0.005122198389691751
422,2003-02-01,2.7046594,2003-02-01,2.7875531,-0.030648480174619998
423,2003-03-01,2.6277872,2003-03-01,2.7046594,-0.029253586439571645
424,2003-04-01,2.4593491,2003-04-01,2.6277872,-0.0684888940736394
425,2003-05-01,2.3483407,2003-05-01,2.4593491,-0.047270994366362507
426,2003-06-01,2.27155,2003-06-01,2.3483407,-0.03380541920714935
427,2003-07-01,2.237208,2003-07-01,2.27155,-0.015350383156148242
428,2003-08-01,2.1655338,2003-08-01,2.237208,-0.033097705517226246
429,2003-09-01,2.1842475,2003-09-01,2.1655338,0.008567573042890133
430,2003-10-01,2.1611133,2003-10-01,2.1842475,-0.010704760365872687
431,2003-11-01,2.0365931,2003-11-01,2.1611133,-0.06114142289885968
432,2003-12-01,1.976213,2003-12-01,2.0365931,-0.0305534373066062
433,2004-01-01,1.9607229,2004-01-01,1.976213,-0.007900198442115437
434,2004-02-01,2.0481367,2004-02-01,1.9607229,0.0426796707465865
435,2004-03-01,2.1370611,2004-03-01,2.0481367,0.041610602523250176
436,2004-04-01,2.2577613,2004-04-01,2.1370611,0.05346012441616389
437,2004-05-01,2.2378638,2004-05-01,2.2577613,-0.008891291775665661
438,2004-06-01,2.3794884,2004-06-01,2.2378638,0.0595189285226186
439,2004-07-01,2.2638524,2004-07-01,2.3794884,-0.051079301813139334
440,2004-08-01,2.2577292,2004-08-01,2.2638524,-0.002712105597075246
441,2004-09-01,2.240201,2004-09-01,2.2577292,-0.007824387186685527
442,2004-10-01,2.2372194,2004-10-01,2.240201,-0.001332725793455943
443,2004-11-01,2.3012131,2004-11-01,2.2372194,0.027808680560700856
444,2004-12-01,2.3138859,2004-12-01,2.3012131,0.005476847410669566
445,2005-01-01,2.3158903,2005-01-01,2.3138859,0.0008654986810040736
446,2005-02-01,2.2862449,2005-02-01,2.3158903,-0.012966852326275351
447,2005-03-01,2.2461526,2005-03-01,2.2862449,-0.017849321546541393
448,2005-04-01,2.2397223,2005-04-01,2.2461526,-0.0028710255731256903
449,2005-05-01,2.3579552,2005-05-01,2.2397223,0.050142131623196314
450,2005-06-01,2.1993552,2005-06-01,2.3579552,-0.07211204447558098
451,2005-07-01,2.3010794,2005-07-01,2.1993552,0.04420716642806852
452,2005-08-01,2.2644059,2005-08-01,2.3010794,-0.016195638776599207
453,2005-09-01,2.3340762,2005-09-01,2.2644059,0.029849196868551375
454,2005-10-01,2.3253024,2005-10-01,2.3340762,-0.0037731866616574966
455,2005-11-01,2.4316658,2005-11-01,2.3253024,0.04374096144297469
456,2005-12-01,2.4690335,2005-12-01,2.4316658,0.015134545562058956
457,2006-01-01,2.4510191,2006-01-01,2.4690335,-0.0073497591267241485
458,2006-02-01,2.4992554,2006-02-01,2.4510191,0.019300268391937905
459,2006-03-01,2.581219,2006-03-01,2.4992554,0.03175383413805644
460,2006-04-01,2.6806926,2006-04-01,2.581219,0.037107425148262076
461,2006-05-01,2.7839595,2006-05-01,2.6806926,0.03709353530466228
462,2006-06-01,3.0344298,2006-06-01,2.7839595,0.08254278942290902
463,2006-07-01,3.0939988,2006-07-01,3.0344298,0.01925307792620999
464,2006-08-01,3.2251144,2006-08-01,3.0939988,0.04065455786622632
465,2006-09-01,3.212012,2006-09-01,3.2251144,-0.004079187748987157
466,2006-10-01,3.2911246,2006-10-01,3.212012,0.024038166163626792
467,2006-11-01,3.1482614,2006-11-01,3.2911246,-0.04537844284467607
468,2006-12-01,3.1241583,2006-12-01,3.1482614,-0.007715070007816199
469,2007-01-01,3.1457342,2007-01-01,3.1241583,0.006858780376295048
470,2007-02-01,3.161558,2007-02-01,3.1457342,0.0050050639589720395
471,2007-03-01,3.1090014,2007-03-01,3.161558,-0.016904656266799992
472,2007-04-01,2.9667028,2007-04-01,3.1090014,-0.047965236018922996
473,2007-05-01,2.783324,2007-05-01,2.9667028,-0.06588481973352736
474,2007-06-01,2.6305791,2007-06-01,2.783324,-0.05806512337910694
475,2007-07-01,2.5346411,2007-07-01,2.6305791,-0.03785072371784702
476,2007-08-01,2.4685402,2007-08-01,2.5346411,-0.02677732369924537
477,2007-09-01,2.4838823,2007-09-01,2.4685402,0.00617666143037446
478,2007-10-01,2.5033248,2007-10-01,2.4838823,0.007766670948971644
479,2007-11-01,2.6563697,2007-11-01,2.5033248,0.05761430722538351
480,2007-12-01,2.7127336,2007-12-01,2.6563697,0.02077752861541584
481,2008-01-01,2.7470404,2008-01-01,2.7127336,0.012488640501974405
482,2008-02-01,2.6165653,2008-02-01,2.7470404,-0.04986502725538704
483,2008-03-01,2.6887664,2008-03-01,2.6165653,0.026852872008516625
484,2008-04-01,2.7251103,2008-04-01,2.6887664,0.013336671179878435
485,2008-05-01,2.7937419,2008-05-01,2.7251103,0.024566192030838725
486,2008-06-01,2.9376962,2008-06-01,2.7937419,0.04900244620257189
487,2008-07-01,3.0142542,2008-07-01,2.9376962,0.025398654167919848
488,2008-08-01,3.0845059,2008-08-01,3.0142542,0.02277567373108284
489,2008-09-01,3.0766785,2008-09-01,3.0845059,-0.0025441072247230382
490,2008-10-01,2.9291949,2008-10-01,3.0766785,-0.05034953461102903
491,2008-11-01,2.7864624,2008-11-01,2.9291949,-0.05122355141056278
492,2008-12-01,2.6304305,2008-12-01,2.7864624,-0.059318008972295555
493,2009-01-01,2.5522481,2009-01-01,2.6304305,-0.03063275862562116
494,2009-02-01,2.5594949,2009-02-01,2.5522481,0.002831339886631494
495,2009-03-01,2.4535819,2009-03-01,2.5594949,-0.04316668622310904
496,2009-04-01,2.3761457,2009-04-01,2.4535819,-0.03258899485835409
497,2009-05-01,2.2888288,2009-05-01,2.3761457,-0.03814916170226441
498,2009-06-01,2.0898948,2009-06-01,2.2888288,-0.0951885233649081
499,2009-07-01,1.9228669,2009-07-01,2.0898948,-0.08686399459057728
500,2009-08-01,1.7701932,2009-08-01,1.9228669,-0.08624691361372308
501,2009-09-01,1.6158958,2009-09-01,1.7701932,-0.09548722139137926
502,2009-10-01,1.5209969,2009-10-01,1.6158958,-0.062392566349083294
503,2009-11-01,1.3714917,2009-11-01,1.5209969,-0.10900919050403303
504,2009-12-01,1.3248615,2009-12-01,1.3714917,-0.03519628278125681
505,2010-01-01,1.1770019,2010-01-01,1.3248615,-0.1256239263505011
506,2010-02-01,1.0548474,2010-02-01,1.1770019,-0.11580300619786325
