,Unnamed: 0,DATE,MICH,Datetime,Prev,Ten_Change,MICH_Prev
0,289,2002-02-01,2.1,2002-02-01,1.9,,
1,290,2002-03-01,2.7,2002-03-01,2.1,0.22222222222222224,2.1
2,291,2002-04-01,2.8,2002-04-01,2.7,0.03571428571428559,2.7
3,292,2002-05-01,2.7,2002-05-01,2.8,-0.0370370370370369,2.8
4,293,2002-06-01,2.7,2002-06-01,2.7,0.0,2.7
5,294,2002-07-01,2.6,2002-07-01,2.7,-0.03846153846153849,2.7
6,295,2002-08-01,2.6,2002-08-01,2.6,0.0,2.6
7,296,2002-09-01,2.5,2002-09-01,2.6,-0.040000000000000036,2.6
8,297,2002-10-01,2.5,2002-10-01,2.5,0.0,2.5
9,298,2002-11-01,2.4,2002-11-01,2.5,-0.041666666666666706,2.5
10,299,2002-12-01,2.5,2002-12-01,2.4,0.040000000000000036,2.4
11,300,2003-01-01,2.5,2003-01-01,2.5,0.0,2.5
12,301,2003-02-01,2.7,2003-02-01,2.5,0.07407407407407414,2.5
13,302,2003-03-01,3.1,2003-03-01,2.7,0.1290322580645161,2.7
14,303,2003-04-01,2.4,2003-04-01,3.1,-0.29166666666666674,3.1
15,304,2003-05-01,2.0,2003-05-01,2.4,-0.19999999999999996,2.4
16,305,2003-06-01,2.1,2003-06-01,2.0,0.04761904761904766,2.0
17,306,2003-07-01,1.7,2003-07-01,2.1,-0.2352941176470589,2.1
18,307,2003-08-01,2.5,2003-08-01,1.7,0.32,1.7
19,308,2003-09-01,2.8,2003-09-01,2.5,0.10714285714285708,2.5
20,309,2003-10-01,2.6,2003-10-01,2.8,-0.07692307692307682,2.8
21,310,2003-11-01,2.7,2003-11-01,2.6,0.03703703703703707,2.6
22,311,2003-12-01,2.6,2003-12-01,2.7,-0.03846153846153849,2.7
23,312,2004-01-01,2.7,2004-01-01,2.6,0.03703703703703707,2.6
24,313,2004-02-01,2.6,2004-02-01,2.7,-0.03846153846153849,2.7
25,314,2004-03-01,2.9,2004-03-01,2.6,0.10344827586206891,2.6
26,315,2004-04-01,3.2,2004-04-01,2.9,0.09375000000000008,2.9
27,316,2004-05-01,3.3,2004-05-01,3.2,0.030303030303030196,3.2
28,317,2004-06-01,3.3,2004-06-01,3.3,0.0,3.3
29,318,2004-07-01,3.0,2004-07-01,3.3,-0.09999999999999994,3.3
30,319,2004-08-01,2.8,2004-08-01,3.0,-0.0714285714285715,3.0
31,320,2004-09-01,2.8,2004-09-01,2.8,0.0,2.8
32,321,2004-10-01,3.1,2004-10-01,2.8,0.09677419354838718,2.8
33,322,2004-11-01,2.8,2004-11-01,3.1,-0.10714285714285725,3.1
34,323,2004-12-01,3.0,2004-12-01,2.8,0.06666666666666672,2.8
35,324,2005-01-01,2.9,2005-01-01,3.0,-0.03448275862068969,3.0
36,325,2005-02-01,2.9,2005-02-01,2.9,0.0,2.9
37,326,2005-03-01,3.2,2005-03-01,2.9,0.09375000000000008,2.9
38,327,2005-04-01,3.3,2005-04-01,3.2,0.030303030303030196,3.2
39,328,2005-05-01,3.2,2005-05-01,3.3,-0.03124999999999989,3.3
40,329,2005-06-01,3.2,2005-06-01,3.2,0.0,3.2
41,330,2005-07-01,3.0,2005-07-01,3.2,-0.06666666666666672,3.2
42,331,2005-08-01,3.1,2005-08-01,3.0,0.03225806451612906,3.0
